keyword,severity,category
চুদুম,critical,sexual
চুদি,critical,sexual
প্রাইভেট পার্ট,critical,sexual
চুদছি,critical,sexual
রেপ,critical,sexual
চুদছে,critical,sexual
বালাত্কার,critical,sexual
সেক্স,critical,sexual
জোর কইরা ছোঁয়া,critical,sexual
জোর কইরা,low,sexual
অশ্লীল,high,sexual
বাজে,low,sexual
নগ্ন,high,sexual
লেংড়া,high,sexual
শারীরিক সম্পর্ক,high,sexual
ছোঁয়া,high,sexual
করসি,low,sexual
অশ্লীলতা,high,sexual
লজ্জার,medium,sexual
চুমা,medium,sexual
কিস,medium,sexual
করা,medium,sexual
পর্ন,medium,sexual
পর্ণো,medium,sexual
ধরসে,medium,sexual
 ছইসে ,medium,sexual
কাম,medium,sexual
পিরিত,low,sexual
লাভ,low,sexual
প্রেম,low,sexual
ইচ্ছা,low,sexual
রোমান্স,low,sexual
বাজে কথা,low,sexual
